,full_aspect,aspect,opinion,opinion_tags,aspect_tags,valence1,valence2,valence3,valence4,arousal1,arousal2,arousal3,arousal4,dominance1,dominance2,dominance3,dominance4
2689,lesser change,change,lesser,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2690,micro change,change,micro,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2691,microscopic change,change,microscopic,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2692,miniature change,change,miniature,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2693,minuscule change,change,minuscule,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2694,olive-sized change,change,olive-sized,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2695,pocket-size change,change,pocket-size,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2696,puny change,change,puny,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2697,slender change,change,slender,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2698,small-scale change,change,small-scale,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2699,smaller change,change,smaller,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2700,smallish change,change,smallish,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2701,subatomic change,change,subatomic,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2702,undersize change,change,undersize,"[('small', 'JJ')]","[('change', 'NN')]",5.557,5.655,5.673,5.961,4.092,4.102,3.712,3.541,5.485,5.403,5.431,5.244
2703,much change,change,much,"[('such', 'JJ')]","[('change', 'NN')]",5.576,5.664,5.674,5.966,4.234,4.254,4.35,4.504,5.642,5.626,5.772,5.75
2704,utile change,change,utile,"[('useful', 'JJ')]","[('change', 'NN')]",5.867,6.072,6.173,6.717,4.33,4.388,4.21,4.285,5.707,5.685,6.158,6.333
2705,multipurpose change,change,multipurpose,"[('useful', 'JJ')]","[('change', 'NN')]",5.867,6.072,6.173,6.717,4.33,4.388,4.21,4.285,5.707,5.685,6.158,6.333
2706,reclaimable change,change,reclaimable,"[('useful', 'JJ')]","[('change', 'NN')]",5.867,6.072,6.173,6.717,4.33,4.388,4.21,4.285,5.707,5.685,6.158,6.333
2707,serviceable change,change,serviceable,"[('useful', 'JJ')]","[('change', 'NN')]",5.867,6.072,6.173,6.717,4.33,4.388,4.21,4.285,5.707,5.685,6.158,6.333
2708,useable change,change,useable,"[('useful', 'JJ')]","[('change', 'NN')]",5.867,6.072,6.173,6.717,4.33,4.388,4.21,4.285,5.707,5.685,6.158,6.333
2709,utilitarian change,change,utilitarian,"[('useful', 'JJ')]","[('change', 'NN')]",5.867,6.072,6.173,6.717,4.33,4.388,4.21,4.285,5.707,5.685,6.158,6.333
2710,utilizable change,change,utilizable,"[('useful', 'JJ')]","[('change', 'NN')]",5.867,6.072,6.173,6.717,4.33,4.388,4.21,4.285,5.707,5.685,6.158,6.333
2711,modest change,change,modest,"[('minor', 'JJ')]","[('change', 'NN')]",5.548,5.674,5.726,6.04,4.248,4.264,4.134,4.174,5.502,5.438,5.75,5.716
2712,pocket-sized change,change,pocket-sized,"[('minor', 'JJ')]","[('change', 'NN')]",5.548,5.674,5.726,6.04,4.248,4.264,4.134,4.174,5.502,5.438,5.75,5.716
2713,limited change,change,limited,"[('minor', 'JJ')]","[('change', 'NN')]",5.548,5.674,5.726,6.04,4.248,4.264,4.134,4.174,5.502,5.438,5.75,5.716
2714,specialized char,char,specialized,"[('special', 'JJ')]","[('char', 'NN')]",5.819,6.034,6.189,6.781,4.282,4.091,4.079,3.616,5.666,5.838,5.973,6.459
2715,specialized character,character,specialized,"[('special', 'JJ')]","[('character', 'NN')]",6.013,6.033,6.442,6.614,4.101,4.017,3.876,3.626,6.118,5.812,6.719,6.384
2716,sure basal check,check,sure basal,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2717,sure elementary check,check,sure elementary,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2718,sure fundamental check,check,sure fundamental,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2719,sure grassroots check,check,sure grassroots,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2720,sure radical check,check,sure radical,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2721,bound basal check,check,bound basal,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2722,bound elementary check,check,bound elementary,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2723,bound fundamental check,check,bound fundamental,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2724,bound grassroots check,check,bound grassroots,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2725,bound radical check,check,bound radical,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2726,doomed basal check,check,doomed basal,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2727,doomed elementary check,check,doomed elementary,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2728,doomed fundamental check,check,doomed fundamental,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2729,doomed grassroots check,check,doomed grassroots,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2730,doomed radical check,check,doomed radical,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2731,foreordained basal check,check,foreordained basal,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2732,foreordained elementary check,check,foreordained elementary,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2733,foreordained fundamental check,check,foreordained fundamental,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2734,foreordained grassroots check,check,foreordained grassroots,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2735,foreordained radical check,check,foreordained radical,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2736,in_for basal check,check,in_for basal,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2737,in_for elementary check,check,in_for elementary,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2738,in_for fundamental check,check,in_for fundamental,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2739,in_for grassroots check,check,in_for grassroots,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2740,in_for radical check,check,in_for radical,"[('sure', 'JJ'), ('basic', 'JJ')]","[('check', 'NN')]",6.24,6.19,6.76,6.87,3.79,3.85,3.3,3.26,5.98,6.2,6.02,6.7
2741,bang-up choice,choice,bang-up,"[('good', 'JJ')]","[('choice', 'NN')]",6.411,6.536,6.952,7.296,3.94,4.026,3.644,3.713,6.042,5.92,6.373,6.276
2742,good_enough choice,choice,good_enough,"[('good', 'JJ')]","[('choice', 'NN')]",6.411,6.536,6.952,7.296,3.94,4.026,3.644,3.713,6.042,5.92,6.373,6.276
2743,goodish choice,choice,goodish,"[('good', 'JJ')]","[('choice', 'NN')]",6.411,6.536,6.952,7.296,3.94,4.026,3.644,3.713,6.042,5.92,6.373,6.276
2744,hot choice,choice,hot,"[('good', 'JJ')]","[('choice', 'NN')]",6.411,6.536,6.952,7.296,3.94,4.026,3.644,3.713,6.042,5.92,6.373,6.276
2745,redeeming choice,choice,redeeming,"[('good', 'JJ')]","[('choice', 'NN')]",6.411,6.536,6.952,7.296,3.94,4.026,3.644,3.713,6.042,5.92,6.373,6.276
2746,satisfactory choice,choice,satisfactory,"[('good', 'JJ')]","[('choice', 'NN')]",6.411,6.536,6.952,7.296,3.94,4.026,3.644,3.713,6.042,5.92,6.373,6.276
2747,solid choice,choice,solid,"[('good', 'JJ')]","[('choice', 'NN')]",6.411,6.536,6.952,7.296,3.94,4.026,3.644,3.713,6.042,5.92,6.373,6.276
2748,superb choice,choice,superb,"[('good', 'JJ')]","[('choice', 'NN')]",6.411,6.536,6.952,7.296,3.94,4.026,3.644,3.713,6.042,5.92,6.373,6.276
2749,well-behaved choice,choice,well-behaved,"[('good', 'JJ')]","[('choice', 'NN')]",6.411,6.536,6.952,7.296,3.94,4.026,3.644,3.713,6.042,5.92,6.373,6.276
2750,accurate choice,choice,accurate,"[('right', 'JJ')]","[('choice', 'NN')]",6.07,6.005,6.66,6.81,4.102,4.268,3.94,4.148,5.94,5.798,6.487,6.452
2751,inmost class,class,inmost,"[('inner', 'JJ')]","[('class', 'NN')]",5.552,5.519,5.914,6.007,4.199,4.153,3.72,3.362,5.459,5.5,5.779,6.044
2752,inside class,class,inside,"[('inner', 'JJ')]","[('class', 'NN')]",5.552,5.519,5.914,6.007,4.199,4.153,3.72,3.362,5.459,5.5,5.779,6.044
2753,another class,class,another,"[('other', 'JJ')]","[('class', 'NN')]",5.389,5.316,5.7,5.685,4.291,4.265,3.876,3.601,5.566,5.626,5.867,6.181
2754,different class,class,different,"[('other', 'JJ')]","[('class', 'NN')]",5.389,5.316,5.7,5.685,4.291,4.265,3.876,3.601,5.566,5.626,5.867,6.181
2755,opposite class,class,opposite,"[('other', 'JJ')]","[('class', 'NN')]",5.389,5.316,5.7,5.685,4.291,4.265,3.876,3.601,5.566,5.626,5.867,6.181
2756,otherwise class,class,otherwise,"[('other', 'JJ')]","[('class', 'NN')]",5.389,5.316,5.7,5.685,4.291,4.265,3.876,3.601,5.566,5.626,5.867,6.181
2757,large class,class,large,"[('super', 'JJ')]","[('class', 'NN')]",5.753,5.758,6.371,6.694,4.209,4.17,3.931,3.679,5.711,5.794,6.162,6.621
2758,realistic cluster,cluster,realistic,"[('real', 'JJ')]","[('cluster', 'NN')]",5.87,5.992,6.272,6.883,3.9,3.862,3.74,3.5,5.763,5.898,5.728,6.147
2759,steady cluster,cluster,steady,"[('secure', 'JJ')]","[('cluster', 'NN')]",5.649,5.798,5.929,6.372,4.188,4.181,3.863,3.687,5.543,5.698,5.772,6.21
2760,tight cluster,cluster,tight,"[('secure', 'JJ')]","[('cluster', 'NN')]",5.649,5.798,5.929,6.372,4.188,4.181,3.863,3.687,5.543,5.698,5.772,6.21
2761,actual code,code,actual,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2762,afoot code,code,afoot,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2763,circulating code,code,circulating,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2764,contemporary code,code,contemporary,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2765,incumbent code,code,incumbent,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2766,live code,code,live,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2767,occurrent code,code,occurrent,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2768,on-line code,code,on-line,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2769,ongoing code,code,ongoing,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2770,topical code,code,topical,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2771,up-to-date code,code,up-to-date,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2772,up-to-the-minute code,code,up-to-the-minute,"[('current', 'JJ')]","[('code', 'NN')]",5.598,5.841,5.456,5.851,3.715,3.902,3.17,3.376,5.63,5.834,5.64,6.045
2773,beady-eyed code,code,beady-eyed,"[('malicious', 'JJ')]","[('code', 'NN')]",4.547,4.522,3.547,2.987,4.286,4.537,3.962,4.563,5.048,5.077,4.802,4.787
2774,bitchy code,code,bitchy,"[('malicious', 'JJ')]","[('code', 'NN')]",4.547,4.522,3.547,2.987,4.286,4.537,3.962,4.563,5.048,5.077,4.802,4.787
2775,despiteful code,code,despiteful,"[('malicious', 'JJ')]","[('code', 'NN')]",4.547,4.522,3.547,2.987,4.286,4.537,3.962,4.563,5.048,5.077,4.802,4.787
2776,leering code,code,leering,"[('malicious', 'JJ')]","[('code', 'NN')]",4.547,4.522,3.547,2.987,4.286,4.537,3.962,4.563,5.048,5.077,4.802,4.787
2777,malevolent code,code,malevolent,"[('malicious', 'JJ')]","[('code', 'NN')]",4.547,4.522,3.547,2.987,4.286,4.537,3.962,4.563,5.048,5.077,4.802,4.787
2778,poisonous code,code,poisonous,"[('malicious', 'JJ')]","[('code', 'NN')]",4.547,4.522,3.547,2.987,4.286,4.537,3.962,4.563,5.048,5.077,4.802,4.787
2779,venomed code,code,venomed,"[('malicious', 'JJ')]","[('code', 'NN')]",4.547,4.522,3.547,2.987,4.286,4.537,3.962,4.563,5.048,5.077,4.802,4.787
2780,vixenish code,code,vixenish,"[('malicious', 'JJ')]","[('code', 'NN')]",4.547,4.522,3.547,2.987,4.286,4.537,3.962,4.563,5.048,5.077,4.802,4.787
2781,additive comment,comment,additive,"[('additional', 'JJ')]","[('comment', 'NN')]",5.968,6.045,6.43,6.821,4.035,4.129,3.688,3.755,5.611,5.543,5.781,5.695
2782,elaborate comment,comment,elaborate,"[('detailed', 'JJ')]","[('comment', 'NN')]",6.24,6.402,6.528,6.967,3.85,3.92,3.74,3.828,6.047,6.07,6.138,6.228
2783,elaborated comment,comment,elaborated,"[('detailed', 'JJ')]","[('comment', 'NN')]",6.24,6.402,6.528,6.967,3.85,3.92,3.74,3.828,6.047,6.07,6.138,6.228
2784,careful comment,comment,careful,"[('detailed', 'JJ')]","[('comment', 'NN')]",6.24,6.402,6.528,6.967,3.85,3.92,3.74,3.828,6.047,6.07,6.138,6.228
2785,a_few comment,comment,a_few,"[('few', 'JJ')]","[('comment', 'NN')]",5.696,5.71,5.969,6.13,4.137,4.235,3.997,4.214,5.611,5.551,5.799,5.72
2786,hardly_a comment,comment,hardly_a,"[('few', 'JJ')]","[('comment', 'NN')]",5.696,5.71,5.969,6.13,4.137,4.235,3.997,4.214,5.611,5.551,5.799,5.72
2787,bang-up comment,comment,bang-up,"[('good', 'JJ')]","[('comment', 'NN')]",6.377,6.891,6.697,7.428,3.769,3.822,3.554,3.561,5.969,6.026,6.155,6.289
2788,good_enough comment,comment,good_enough,"[('good', 'JJ')]","[('comment', 'NN')]",6.377,6.891,6.697,7.428,3.769,3.822,3.554,3.561,5.969,6.026,6.155,6.289
2789,goodish comment,comment,goodish,"[('good', 'JJ')]","[('comment', 'NN')]",6.377,6.891,6.697,7.428,3.769,3.822,3.554,3.561,5.969,6.026,6.155,6.289
2790,hot comment,comment,hot,"[('good', 'JJ')]","[('comment', 'NN')]",6.377,6.891,6.697,7.428,3.769,3.822,3.554,3.561,5.969,6.026,6.155,6.289
2791,redeeming comment,comment,redeeming,"[('good', 'JJ')]","[('comment', 'NN')]",6.377,6.891,6.697,7.428,3.769,3.822,3.554,3.561,5.969,6.026,6.155,6.289
2792,satisfactory comment,comment,satisfactory,"[('good', 'JJ')]","[('comment', 'NN')]",6.377,6.891,6.697,7.428,3.769,3.822,3.554,3.561,5.969,6.026,6.155,6.289
2793,solid comment,comment,solid,"[('good', 'JJ')]","[('comment', 'NN')]",6.377,6.891,6.697,7.428,3.769,3.822,3.554,3.561,5.969,6.026,6.155,6.289
2794,superb comment,comment,superb,"[('good', 'JJ')]","[('comment', 'NN')]",6.377,6.891,6.697,7.428,3.769,3.822,3.554,3.561,5.969,6.026,6.155,6.289
2795,well-behaved comment,comment,well-behaved,"[('good', 'JJ')]","[('comment', 'NN')]",6.377,6.891,6.697,7.428,3.769,3.822,3.554,3.561,5.969,6.026,6.155,6.289
2796,extraordinary comment,comment,extraordinary,"[('great', 'JJ')]","[('comment', 'NN')]",6.443,6.89,6.63,7.251,3.851,4.001,3.767,3.911,6.161,6.3,6.307,6.531
2797,senior comment,comment,senior,"[('last', 'JJ')]","[('comment', 'NN')]",5.571,5.551,5.677,5.69,4.154,4.295,4.013,4.24,5.565,5.475,5.764,5.668
2798,sunset comment,comment,sunset,"[('last', 'JJ')]","[('comment', 'NN')]",5.571,5.551,5.677,5.69,4.154,4.295,4.013,4.24,5.565,5.475,5.764,5.668
2799,ultimate comment,comment,ultimate,"[('last', 'JJ')]","[('comment', 'NN')]",5.571,5.551,5.677,5.69,4.154,4.295,4.013,4.24,5.565,5.475,5.764,5.668
2800,more_than comment,comment,more_than,"[('more', 'JJ')]","[('comment', 'NN')]",5.683,5.675,5.765,5.83,4.201,4.397,4.153,4.447,5.713,5.621,5.869,5.819
2801,avant-garde comment,comment,avant-garde,"[('original', 'JJ')]","[('comment', 'NN')]",5.963,6.225,6.471,6.974,4.317,4.566,4.053,4.342,5.911,6.016,6.2,6.381
2802,freehand comment,comment,freehand,"[('original', 'JJ')]","[('comment', 'NN')]",5.963,6.225,6.471,6.974,4.317,4.566,4.053,4.342,5.911,6.016,6.2,6.381
2803,fresh comment,comment,fresh,"[('original', 'JJ')]","[('comment', 'NN')]",5.963,6.225,6.471,6.974,4.317,4.566,4.053,4.342,5.911,6.016,6.2,6.381
2804,germinal comment,comment,germinal,"[('original', 'JJ')]","[('comment', 'NN')]",5.963,6.225,6.471,6.974,4.317,4.566,4.053,4.342,5.911,6.016,6.2,6.381
2805,innovative comment,comment,innovative,"[('original', 'JJ')]","[('comment', 'NN')]",5.963,6.225,6.471,6.974,4.317,4.566,4.053,4.342,5.911,6.016,6.2,6.381
2806,newfangled comment,comment,newfangled,"[('original', 'JJ')]","[('comment', 'NN')]",5.963,6.225,6.471,6.974,4.317,4.566,4.053,4.342,5.911,6.016,6.2,6.381
2807,underivative comment,comment,underivative,"[('original', 'JJ')]","[('comment', 'NN')]",5.963,6.225,6.471,6.974,4.317,4.566,4.053,4.342,5.911,6.016,6.2,6.381
2808,another comment,comment,another,"[('other', 'JJ')]","[('comment', 'NN')]",5.667,5.663,5.79,5.853,3.571,3.554,3.404,3.321,5.8,5.776,6.044,6.084
2809,different comment,comment,different,"[('other', 'JJ')]","[('comment', 'NN')]",5.667,5.663,5.79,5.853,3.571,3.554,3.404,3.321,5.8,5.776,6.044,6.084
2810,new comment,comment,new,"[('other', 'JJ')]","[('comment', 'NN')]",5.667,5.663,5.79,5.853,3.571,3.554,3.404,3.321,5.8,5.776,6.044,6.084
2811,opposite comment,comment,opposite,"[('other', 'JJ')]","[('comment', 'NN')]",5.667,5.663,5.79,5.853,3.571,3.554,3.404,3.321,5.8,5.776,6.044,6.084
2812,otherwise comment,comment,otherwise,"[('other', 'JJ')]","[('comment', 'NN')]",5.667,5.663,5.79,5.853,3.571,3.554,3.404,3.321,5.8,5.776,6.044,6.084
2813,assonant comment,comment,assonant,"[('same', 'JJ')]","[('comment', 'NN')]",5.697,5.695,6.067,6.28,4.11,4.217,3.97,4.178,5.642,5.59,5.782,5.697
2814,comparable comment,comment,comparable,"[('same', 'JJ')]","[('comment', 'NN')]",5.697,5.695,6.067,6.28,4.11,4.217,3.97,4.178,5.642,5.59,5.782,5.697
2815,cookie-cutter comment,comment,cookie-cutter,"[('same', 'JJ')]","[('comment', 'NN')]",5.697,5.695,6.067,6.28,4.11,4.217,3.97,4.178,5.642,5.59,5.782,5.697
2816,duplicate comment,comment,duplicate,"[('same', 'JJ')]","[('comment', 'NN')]",5.697,5.695,6.067,6.28,4.11,4.217,3.97,4.178,5.642,5.59,5.782,5.697
2817,homophonic comment,comment,homophonic,"[('same', 'JJ')]","[('comment', 'NN')]",5.697,5.695,6.067,6.28,4.11,4.217,3.97,4.178,5.642,5.59,5.782,5.697
2818,identical comment,comment,identical,"[('same', 'JJ')]","[('comment', 'NN')]",5.697,5.695,6.067,6.28,4.11,4.217,3.97,4.178,5.642,5.59,5.782,5.697
2819,one comment,comment,one,"[('same', 'JJ')]","[('comment', 'NN')]",5.697,5.695,6.067,6.28,4.11,4.217,3.97,4.178,5.642,5.59,5.782,5.697
2820,synoptic comment,comment,synoptic,"[('same', 'JJ')]","[('comment', 'NN')]",5.697,5.695,6.067,6.28,4.11,4.217,3.97,4.178,5.642,5.59,5.782,5.697
2821,little comment,comment,little,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2822,atomic comment,comment,atomic,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2823,bantam comment,comment,bantam,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2824,bitty comment,comment,bitty,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2825,dinky comment,comment,dinky,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2826,dwarfish comment,comment,dwarfish,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2827,elfin comment,comment,elfin,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2828,gnomish comment,comment,gnomish,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2829,half-size comment,comment,half-size,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2830,infinitesimal comment,comment,infinitesimal,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2831,lesser comment,comment,lesser,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2832,micro comment,comment,micro,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2833,microscopic comment,comment,microscopic,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2834,miniature comment,comment,miniature,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2835,minuscule comment,comment,minuscule,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2836,olive-sized comment,comment,olive-sized,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2837,pocket-size comment,comment,pocket-size,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2838,puny comment,comment,puny,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2839,slender comment,comment,slender,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
2840,small-scale comment,comment,small-scale,"[('small', 'JJ')]","[('comment', 'NN')]",5.87,5.924,6.204,6.482,3.668,3.692,3.406,3.328,5.456,5.33,5.468,5.222
